id,start_timestamp,end_timestamp,start_long,start_lat,end_long,end_lat,distance
296,1601629058,1601629475,4.481987467,51.02265181,4.481069911,51.02265181,3270
297,1601631441,1601631521,4.483679377,51.02759571,4.483876221,51.02759571,410
298,1601631806,1601631929,4.483388116,51.0283026,4.48240898,51.0283026,390
299,1601633030,1601633187,4.471453906,51.02483402,4.476340012,51.02483402,380
300,1601634695,1601635045,4.481288855,51.03722802,4.48810929,51.03722802,2970
301,1601635427,1601635547,4.48220509,51.0226126,4.480893406,51.0226126,590
302,1601635778,1601636111,4.481728532,51.02798443,4.488477818,51.02798443,1510
303,1601638283,1601638744,4.480119542,51.02802169,4.479664464,51.02802169,130
304,1601641194,1601641401,4.488651473,51.02494561,4.4837245,51.02494561,940
305,1601641777,1601643217,4.473691646,51.02397404,4.482823333,51.02397404,930
306,1601643122,1601644536,4.478244609,51.02639593,4.482155729,51.02639593,2740
307,1601643437,1601643621,4.484185008,51.02884634,4.4835046,51.02884634,90
308,1601643610,1601643798,4.47473404,51.02302691,4.469890793,51.02302691,920
309,1601644021,1601644729,4.4699036,51.02024145,4.481997525,51.02024145,1990
310,1601644775,1601648131,4.479711559,51.0280479,4.4797289,51.0280479,11010
311,1601644788,1601647950,4.47970521,51.02807704,4.479678937,51.02807704,9940
312,1601646357,1601646743,4.480793762,51.02508251,4.488297759,51.02508251,1850
313,1601646623,1601646985,4.48940986,51.02954101,4.4745534,51.02954101,2600
314,1601649074,1601649416,4.478763655,51.02959607,4.483015389,51.02959607,2690
315,1601652336,1601652739,4.481812634,51.02300785,4.471444481,51.02300785,1790
316,1601652348,1601652730,4.482151897,51.02282499,4.47130834,51.02282499,1800
317,1601655756,1601655866,4.476108863,51.02644237,4.480015059,51.02644237,600
318,1601656360,1601656442,4.479704995,51.02724285,4.474481173,51.02724285,740
319,1601657117,1601657494,4.471250904,51.02486805,4.482537114,51.02486805,2350
320,1601658310,1601658487,4.482116893,51.02277517,4.483138771,51.02277517,1040
321,1601659317,1601659569,4.483703803,51.02777136,4.4754138,51.02777136,1730
322,1601660087,1601660466,4.482958973,51.02484293,4.482600918,51.02484293,1440
323,1601660191,1601660418,4.485535871,51.01863796,4.483125334,51.01863796,500
324,1601660526,1601661025,4.483141275,51.01804422,4.477203637,51.01804422,2590
325,1601660846,1601661234,4.48002161,51.02723234,4.482461,51.02723234,1510
326,1601660898,1601661111,4.48195111,51.02406022,4.47800472,51.02406022,880
327,1601661150,1601661441,4.48304557,51.02689623,4.480280637,51.02689623,720
328,1601662353,1601662645,4.48283375,51.01794406,4.4795164,51.01794406,2130
329,1601663022,1601663990,4.47967551,51.02807415,4.4768631,51.02807415,1240
330,1601663058,1601664044,4.479696,51.028105,4.476699,51.028105,1510
331,1601663122,1601663620,4.480350843,51.02066218,4.482710775,51.02066218,1770
332,1601666777,1601667093,4.482397508,51.01935211,4.481762759,51.01935211,720
333,1601667319,1601667731,4.4725549,51.0332591,4.4804922,51.0332591,2560
334,1601667320,1601667745,4.472587502,51.03324564,4.4804599,51.03324564,3180
335,1601669677,1601670034,4.47654965,51.02490198,4.4716602,51.02490198,1150
336,1601669704,1601670041,4.47658387,51.02488555,4.4716962,51.02488555,1150
337,1601670019,1601670824,4.480625306,51.02793755,4.481015847,51.02793755,80
338,1601670294,1601670754,4.4824739,51.02838555,4.488749,51.02838555,930
339,1601670538,1601670741,4.482441056,51.02835337,4.488777834,51.02835337,950
340,1601672058,1601672570,4.478361544,51.02683849,4.4828362,51.02683849,3200
341,1601672160,1601675845,4.474947601,51.02342264,4.474645,51.02342264,60
342,1601672194,1601672868,4.474832565,51.02330033,4.481884776,51.02330033,500
343,1601672331,1601672887,4.480520581,51.02794672,4.477500265,51.02794672,800
344,1601672492,1601672671,4.480063493,51.02806642,4.477586505,51.02806642,200
345,1601672768,1601673343,4.477246183,51.02892909,4.48058299,51.02892909,2340
346,1601672954,1601673303,4.475426087,51.03341297,4.483895916,51.03341297,1850
347,1601673717,1601673929,4.480581461,51.02295726,4.4779843,51.02295726,790
348,1601673831,1601673976,4.4804041,51.0229115,4.4779659,51.0229115,1050
349,1601676238,1601676409,4.482321891,51.02075518,4.482144492,51.02075518,660
350,1601677917,1601678308,4.480271088,51.02826858,4.480271088,51.02826858,0
351,1601680641,1601681622,4.477944765,51.02613148,4.477944765,51.02613148,880
352,1601710474,1601710794,4.480328894,51.0208225,4.481954767,51.0208225,2150
353,1601712145,1601712705,4.482160895,51.02779413,4.480365664,51.02779413,1730
354,1601714103,1601714953,4.481891247,51.02330272,4.4714047,51.02330272,4310
355,1601715901,1601716217,4.471242953,51.03307003,4.4809953,51.03307003,2510
356,1601718554,1601718743,4.481050738,51.02372526,4.486589034,51.02372526,1200
357,1601720225,1601720842,4.479658674,51.02728144,4.493464318,51.02728144,2060
358,1601723522,1601723821,4.486806346,51.0251514,4.476658796,51.0251514,1570
359,1601724203,1601724770,4.482081399,51.01772536,4.509491898,51.01772536,4350
360,1601725336,1601730734,4.479845697,51.02784659,4.4735112,51.02784659,8710
362,1601726699,1601727234,4.486516782,51.03138377,4.473218537,51.03138377,2870
363,1601726669,1601727432,4.509606399,51.00877405,4.480753894,51.00877405,5610
364,1601726850,1601727089,4.4745525,51.0228459,4.4807003,51.0228459,1810
